date,source,source_tx_id,tx_type,asset,amount,fee,fee_asset,counterparty_asset,counterparty_amount,notes
2024-07-09T20:47:50+00:00,kraken,L2LJ2U-LHQI5-6T32AX,sell,USDC,3998.0555,36.41,EUR,EUR,3677.59,Kraken Trade
2024-07-09T20:53:07+00:00,kraken,LPOM7S-UAAOY-SDEN3C,fiat_withdrawal,EUR,3640.18,1,EUR,,0,Kraken withdrawal (fiat)
2024-07-14T21:20:33+00:00,kraken,LDXOYB-7EE3C-UUFKSM,earn_reward,DOT,0.0035349886,0,,,0,Kraken earn reward (crypto)
2024-07-21T21:20:34+00:00,kraken,LMRSYD-SXMTP-PHCY6D,earn_reward,DOT,0.0035287823,0,,,0,Kraken earn reward (crypto)
2024-07-23T13:33:26+00:00,kraken,LJKHVA-EHKI2-5IKMN2,deposit,USDC,3E+3,0,,,0,Kraken deposit (stable_coin)
2024-07-23T13:33:52+00:00,kraken,LPYNIC-TUSQQ-YJE5OY,sell,USDC,3E+3,27.24,EUR,EUR,2750.89,Kraken Trade
2024-07-23T13:37:05+00:00,kraken,LJK3RA-JHBU3-VN2WL7,fiat_withdrawal,EUR,1999,1,EUR,,0,Kraken withdrawal (fiat)
2024-07-23T13:37:45+00:00,kraken,LAT3SJ-X2HD6-YYHKNO,fiat_withdrawal,EUR,722.65,1,EUR,,0,Kraken withdrawal (fiat)
2024-07-24T06:22:09+00:00,binance,,airdrop,LUNA,1E-8,0,,,0,Binance Airdrop Assets
2024-07-28T21:20:37+00:00,kraken,LJQOV2-TQMJC-3KKHZY,earn_reward,DOT,0.0035828784,0,,,0,Kraken earn reward (crypto)
2024-08-02T08:38:37+00:00,kraken,L4YENG-MOSIE-QIZQ2U,deposit,USDC,3E+3,0,,,0,Kraken deposit (stable_coin)
2024-08-02T08:45:10+00:00,kraken,L7NSWZ-7TNFG-RLXUFX,sell,USDC,3E+3,27.34,EUR,EUR,2761.63,Kraken Trade
